title,link,original,sale,discount,currency,date,time
flower,https://store.steampowered.com/app/966330/Flower/?snr=1_7_7_2300_150_4,6.99,2.44,65,USD,2020-04-25,14:50:21.801055
do not feed the monkeys,https://store.steampowered.com/app/658850/Do_Not_Feed_the_Monkeys/?snr=1_7_7_2300_150_4,11.99,4.19,65,USD,2020-04-25,14:50:21.802054
the daedalic armageddon bundle,https://store.steampowered.com/sub/55062/?snr=1_7_7_2300_150_4,129.99,12.99,90,USD,2020-04-25,14:50:21.802054
a short hike,https://store.steampowered.com/app/1055540/A_Short_Hike/?snr=1_7_7_2300_150_4,7.99,5.99,25,USD,2020-04-25,14:50:21.803053
where the water tastes like wine,https://store.steampowered.com/app/447120/Where_the_Water_Tastes_Like_Wine/?snr=1_7_7_2300_150_4,19.99,5.00,75,USD,2020-04-25,14:50:21.803053
not tonight,https://store.steampowered.com/app/733790/Not_Tonight/?snr=1_7_7_2300_150_4,19.99,11.99,40,USD,2020-04-25,14:50:21.804053
ultimate fishing simulator,https://store.steampowered.com/app/468920/Ultimate_Fishing_Simulator/?snr=1_7_7_2300_150_4,19.99,9.99,50,USD,2020-04-25,14:50:21.805053
hacknet,https://store.steampowered.com/app/365450/Hacknet/?snr=1_7_7_2300_150_4,9.99,1.49,85,USD,2020-04-25,14:50:21.805053
superdimension neptune vs sega hard girls,https://store.steampowered.com/app/571530/Superdimension_Neptune_VS_Sega_Hard_Girls/?snr=1_7_7_2300_150_4,19.99,7.99,60,USD,2020-04-25,14:50:21.806041
mod and play,https://store.steampowered.com/app/1127460/Mod_and_Play/?snr=1_7_7_2300_150_4,4.99,2.99,40,USD,2020-04-25,14:50:21.806041
neo cab,https://store.steampowered.com/app/794540/Neo_Cab/?snr=1_7_7_2300_150_4,14.99,8.99,40,USD,2020-04-25,14:50:21.807051
astellia,https://store.steampowered.com/app/1185560/Astellia/?snr=1_7_7_2300_150_4,29.99,26.99,10,USD,2020-04-25,14:50:21.807051
hyperdevotion noire: goddess black heart (neptunia),https://store.steampowered.com/app/415480/Hyperdevotion_Noire_Goddess_Black_Heart_Neptunia/?snr=1_7_7_2300_150_4,14.99,4.49,70,USD,2020-04-25,14:50:21.808050
nowhere prophet,https://store.steampowered.com/app/681730/Nowhere_Prophet/?snr=1_7_7_2300_150_4,24.99,18.74,25,USD,2020-04-25,14:50:21.808050
hero siege,https://store.steampowered.com/app/269210/Hero_Siege/?snr=1_7_7_2300_150_4,6.99,1.39,80,USD,2020-04-25,14:50:21.809040
filament,https://store.steampowered.com/app/1137350/Filament/?snr=1_7_7_2300_150_4,16.99,14.44,15,USD,2020-04-25,14:50:21.810040
titan quest anniversary edition,https://store.steampowered.com/app/475150/Titan_Quest_Anniversary_Edition/?snr=1_7_7_2300_150_4,89.99,17.99,80,USD,2020-04-25,14:50:21.810040
